Sale Date,Item Name,Quantity,Price,Coupon Code,Coupon Details,Discount Amount,Shipping Discount,Order Shipping,Order Sales Tax,Item Total,Currency,Transaction ID,Listing ID,Date Paid,Date Shipped,Order ID,Variations,Order Type,Listings Type,Payment Type,InPerson Discount,InPerson Location,VAT Paid by Buyer,SKU
03/18/24,Beam Team Embroidered patches,1,12.99,FINISHSTRONG,FINISHSTRONG - % off,1.30,0.00,3.99,0,12.99,USD,4018549832,1426347210,03/18/2024,03/20/2024,3245788298,,online,listing,online_cc,,,0,6413B8D910E80_15563
03/17/24,Beam Team Social Club riff T-shirt for Sacramento Kings Fans,1,29.99,,,0.00,7.39,0,0,29.99,USD,4017877731,1377408952,03/17/2024,03/18/2024,3244557148,"Colors:Black,Sizes:L",online,listing,online_cc,,,0,28350085669950334165
03/17/24,Light the Beam Sacramento Basketball Women's Tie-Dye Crop Tee,1,29.99,,,0,0,0,0,29.99,USD,4016865640,1434851421,03/17/2024,03/18/2024,3244557148,"Colors:Lagoon,Sizes:XL",online,listing,online_cc,,,0,16830345084896988958
03/15/24,Light the Beam Sacramento Basketball Tee Women's Flowy Cropped Tee,1,25.00,,,0.00,0.00,4.8,0,25,USD,4015695325,1370067167,03/15/2024,03/20/2024,3236340353,"Colors:Dark Grey Heather,Sizes:S",online,listing,online_cc,,,0,30484587927351477314
03/13/24,Light the Beam Holographic Die-cut Stickers - Sacramento Basketball,1,6.75,BEAMTEAM,BEAMTEAM - % off,1.01,0.00,0.75,0,6.75,USD,4013201303,1363252265,03/13/2024,03/14/2024,3234443571,Sizes:4&quot; × 4&quot;,online,listing,online_cc,,,0,23435239439601723973
03/12/24,Light the Beam Metal License Plate Frame,1,18.00,FINISHSTRONG,FINISHSTRONG - % off,1.80,0.00,6.29,0,18,USD,4011234246,1567796922,03/12/2024,03/14/2024,3233669509,,online,listing,online_cc,,,0,27605739636631367679
03/08/24,Light the Beam Sacramento Basketball Tee,1,24.99,,,0.00,7.00,0,0,24.99,USD,4006013019,1349153380,03/08/2024,03/09/2024,3236017282,"Colors:Vintage Black,Sizes:XL",online,listing,online_cc,,,0,70181299517326048018
03/08/24,Light the Beam Sacramento Basketball Tee Women's Flowy Cropped Tee,1,25.00,,,0,0,0,0,25,USD,4005260570,1370067167,03/08/2024,03/09/2024,3236017282,"Colors:Black,Sizes:M",online,listing,online_cc,,,0,11253536404984442005
03/04/24,Keegan Murray Sacramento Basketball T-Shirt,1,24.99,FINISHSTRONG,FINISHSTRONG - % off,5.00,7.15,0,0,24.99,USD,4000297980,1624711321,03/04/2024,03/08/2024,3232260980,"Colors:Black,Sizes:L",online,listing,online_cc,,,0,12455269447742473048
03/04/24,Keegan Murray Sacramento Basketball T-Shirt,1,24.99,FINISHSTRONG,FINISHSTRONG - % off,0,0,0,0,24.99,USD,4000297978,1624711321,03/04/2024,03/08/2024,3232260980,"Colors:Silver,Sizes:XL",online,listing,online_cc,,,0,49336754372159635285
